county,date,year,temperature,rainfall,evapotranspiration
adair,2025-04-01,2025,5.706424768876104,0.0012993531181052,-0.0012566709283368
adair,2025-04-02,2025,11.193085782281457,0.0175838341419155,-0.0020477567724455
adair,2025-04-03,2025,7.281592934480386,1.7225742112714215e-06,-0.0020240963138772
adair,2025-04-04,2025,6.211509897920337,0.0026537862695307,-0.0013421264708151
adair,2025-04-05,2025,5.239770425662414,0.0009416558493656,-0.0021543653384353
adair,2025-04-06,2025,3.9250081428592694,4.351138045421976e-07,-0.0024606234643547
adair,2025-04-07,2025,4.812957981697934,4.351138045421976e-07,-0.0022266421701834
adair,2025-04-08,2025,2.820527440022204,0.0,-0.0023904097409718
adair,2025-04-09,2025,10.781374672965285,0.0006835190669647,-0.0031286333456895
adair,2025-04-10,2025,12.08133050820561,0.0004881583262441,-0.0027862268699731
adair,2025-04-11,2025,9.630447907107168,8.347987887750371e-06,-0.0020916834451461
adair,2025-04-12,2025,11.265700440237481,1.265911691916699e-06,-0.0030054283434295
adair,2025-04-13,2025,17.772644177080565,1.118875855519248e-05,-0.003334920948059
adair,2025-04-14,2025,13.636174573582196,2.8989539746635495e-05,-0.0028216626001961
adair,2025-04-15,2025,9.186526746242293,7.411881649160071e-05,-0.0031559102479375
adair,2025-04-16,2025,11.761667835761386,2.112095194395885e-05,-0.0035803509518811
adair,2025-04-17,2025,18.66037207477609,0.0002288548859018,-0.0025222880671297
adair,2025-04-18,2025,14.383973001114043,0.0185790860729861,-0.0012033708530891
adair,2025-04-19,2025,9.465521306105984,1.4525251393959436e-05,-0.0029525768100031
adair,2025-04-20,2025,7.696182507053891,0.0103889405549634,-0.0012335152311004
adair,2025-04-21,2025,10.856193208889806,0.0014269606548194,-0.0033632111641513
adair,2025-04-22,2025,15.916167135411456,0.0003064137337414,-0.003230595261706
adair,2025-04-23,2025,17.27833507314591,0.003593421732405,-0.0034752822399148
adair,2025-04-24,2025,16.425790167894377,0.0058732049873574,-0.0021074651937977
adair,2025-04-25,2025,14.592656647285082,0.0130313470145811,-0.00241767970112
adair,2025-04-26,2025,11.379992612984154,0.0008603639005905,-0.0033409546337596
adair,2025-04-27,2025,13.203250522187716,6.727852721747031e-05,-0.0018384670327464
adair,2025-04-28,2025,18.721110555029327,0.0008988092294871,-0.0020866431940008
adair,2025-04-29,2025,14.948329634785637,0.0007290210644262,-0.0040855886041084
adair,2025-04-30,2025,13.02487614264129,0.0030370307078542,-0.0026700807348841
adair,2025-05-01,2025,14.749316743116765,0.009385555485555,-0.002070707595511
adair,2025-05-02,2025,11.173402264424112,0.0044463771415987,-0.0021735358729683
adair,2025-05-03,2025,10.145676377163397,0.0008781641556353,-0.0030829260728181
adair,2025-05-04,2025,12.190880973696096,8.630463774750297e-07,-0.0038495479482718
adair,2025-05-05,2025,14.637000432860702,8.523463748133508e-07,-0.0041455341253121
adair,2025-05-06,2025,15.621794192273569,1.7171240642710472e-06,-0.0042142013751938
adair,2025-05-07,2025,17.073693892511358,8.73431656420896e-05,-0.003716047086173
adair,2025-05-08,2025,16.90155992325259,1.3497571537167077e-06,-0.0041743952665054
adair,2025-05-09,2025,15.987403684715332,4.351138045421976e-07,-0.0043704052311023
adair,2025-05-10,2025,19.118130375129795,8.583068833445395e-07,-0.0050813347578131
adair,2025-05-11,2025,20.605880563730807,8.583068797918258e-07,-0.0054234784593701
adair,2025-05-12,2025,20.388472914824888,2.1457671550706436e-06,-0.0053748548111324
adair,2025-05-13,2025,21.606758046159825,8.583068797918258e-07,-0.0045797418471864
adair,2025-05-14,2025,23.6849261672578,0.0,-0.0051747803097155
